Zipcode,Borough,Neighborhood,Deaths Per Capita,Asthma
10001,Manhattan,Chelsea/NoMad/West Chelsea,94.16,9.6
10002,Manhattan,Chinatown/Lower East Side,252.25,9.2
10003,Manhattan,East Village/Gramercy/Greenwich Village,68.55,10.1
10004,Manhattan,Financial District,67.29,9.2
10005,Manhattan,Financial District,0,9.4
10006,Manhattan,Financial District,29.57,9.2
10007,Manhattan,TriBeCa,57.21,9.3
10009,Manhattan,Alphabet City/East Village/Stuyvesant Town-Cooper Village,143.48,10.2
10010,Manhattan,Flatiron/Gramercy/Kips Bay,83.95,9.7
10011,Manhattan,Chelsea,94.48,9.7
10012,Manhattan,Greenwich Village/SoHo,51.83,9.5
10013,Manhattan,Hudson Square/Little Italy/SoHo/TriBeCa,76.34,9.1
10014,Manhattan,Hudson Square/Meatpacking District/West Village,89,9.9
10016,Manhattan,Kips Bay/Murray Hill/NoMad,96.24,9.7
10017,Manhattan,East Midtown/Murray Hill,89.67,9.5
10018,Manhattan,Hell's Kitchen/Midtown Manhattan,59.37,9.1
10019,Manhattan,Hell's Kitchen/Midtown Manhattan,114.88,9.3
10021,Manhattan,Lenox Hill/Upper East Side,159.13,10
10022,Manhattan,East Midtown,122.99,9.8
10023,Manhattan,Lincoln Square,92.26,9.8
10024,Manhattan,Upper West Side,135.25,10
10025,Manhattan,Manhattan Valley/Morningside Heights/Upper West Side,215.02,10.5
10026,Manhattan,Central Harlem (South),150.01,12.3
10027,Manhattan,Central Harlem (South)/Morningside Heights/West Harlem,200.33,11.9
10028,Manhattan,Upper East Side/Yorkville,78.11,10
10029,Manhattan,East Harlem,304.25,11
10030,Manhattan,Central Harlem (North),215.24,13
10031,Manhattan,Hamilton Heights/West Harlem,249.05,11.3
10032,Manhattan,Washington Heights (South),302.93,10.7
10033,Manhattan,Washington Heights (North)/Washington Heights (South),223.86,10.4
10034,Manhattan,Inwood/Washington Heights (North),177.55,10.6
10035,Manhattan,East Harlem,405.79,11.4
10036,Manhattan,Hell's Kitchen/Midtown Manhattan,165.19,9.2
10037,Manhattan,Central Harlem (North)/East Harlem,365.5,13.4
10038,Manhattan,Chinatown/Financial District,139.95,9.6
10039,Manhattan,Central Harlem (North)/Washington Heights (South),264.89,13
10040,Manhattan,Washington Heights (North),304.78,10.4
10044,Manhattan,Roosevelt Island,317,9.7
10065,Manhattan,Lenox Hill/Upper East Side,114.7,9.8
10069,Manhattan,Lincoln Square,47.74,9.9
10075,Manhattan,Lenox Hill/Upper East Side,212.63,10
10128,Manhattan,Upper East Side/Yorkville,81.97,10
10280,Manhattan,Battery Park City,10.7,9.2
10282,Manhattan,Battery Park City,251.26,9.4
10301,Staten Island,Silver Lake/St. George,313.58,11.4
10302,Staten Island,Elm Park,227.21,11.1
10303,Staten Island,Graniteville/Mariner's Harbor/Port Ivory,226.31,11.6
10304,Staten Island,New Dorp/Todt Hill,518.06,11.3
10305,Staten Island,Arrochar/Midland Beach/Shore Acres/South Beach Ocean Breeze,233.34,10.8
10306,Staten Island,Lighthouse Hill/Midland Beach/New Dorp/Oakwood,318.14,11.1
10307,Staten Island,Tottenville,134.12,11.1
10308,Staten Island,Great Kills,154.26,11.1
10309,Staten Island,Charleston/Prince's Bay/Woodrow,133.58,11
10310,Staten Island,Port Richmond/Randall Manor/West Brighton,187.7,11.4
10312,Staten Island,Annadale/Rossville,137.59,11.1
10314,Staten Island,Bloomfield/Freshkills Park,293.98,10.8
10451,Bronx,Concourse/Melrose,325.12,12.1
10452,Bronx,Concourse/Highbridge,255.28,11.7
10453,Bronx,Morris Heights/Mount Hope/University Heights,235.14,12
10454,Bronx,Mott Haven/Port Morris,330.43,11.5
10455,Bronx,Mott Haven,284.05,11.5
10456,Bronx,Claremont/Morrisania,321.91,12.2
10457,Bronx,Belmont/Claremont/Mount Hope/Tremont,272.65,11.8
10458,Bronx,Belmont/Fordham University/Kingsbridge,177.66,11.2
10459,Bronx,Charlotte Gardens/Hunts Point,367.64,11.6
10460,Bronx,Charlotte Gardens/Tremont/Van Nest/West Farms,247.98,11.6
10461,Bronx,Morris Park/Pelham Bay/Westchester Square,305.51,10.7
10462,Bronx,Parkchester/Pelham Parkway/Van Nest/Westchester Square,268.2,11.3
10463,Bronx,Kingsbridge/Marble Hill/Riverdale/Spuyten Duyvil,350.08,11
10464,Bronx,City Island,256.69,11.4
10465,Bronx,Country Club/Throgs Neck,243.49,11.1
10466,Bronx,Edenwald/Wakefield,256.63,13.3
10467,Bronx,Allerton/Norwood/Pelham Parkway/Williamsbridge,348.82,11.6
10468,Bronx,Fordham/Kingsbridge/University Heights,311.01,10.9
10469,Bronx,Allerton/Baychester/Pelham Gardens/Williamsbridge,534.31,12.7
10470,Bronx,Wakefield/Woodlawn,180.1,12.1
10471,Bronx,Fieldston/North Riverdale/Riverdale,466.08,11.2
10472,Bronx,Soundview,322.16,11
10473,Bronx,Castle Hill/Clason Point/Soundview,289.29,11.9
10474,Bronx,Hunts Point,192.06,11.3
10475,Bronx,Co-op City/Edenwald,453.94,12.9
11004,Queens,Bellerose/Douglaston-Little Neck,390.51,9.8
11101,Queens,Astoria (South)/Long Island City/Sunnyside,127.59,10.4
11102,Queens,Astoria (North),339.49,10.1
11103,Queens,Astoria (North)/Astoria (South),206.08,10.1
11104,Queens,Sunnyside,192.63,9.7
11105,Queens,Ditmars Steinway,154.74,10.3
11106,Queens,Astoria (South),179.01,10
11109,Queens,Long Island City,34.71,9.7
11201,Brooklyn,Brooklyn Heights/DUMBO/Downtown Brooklyn,162.13,10.6
11203,Brooklyn,East Flatbush (North)/East Flatbush (South),351.91,13.9
11204,Brooklyn,Bensonhurst/Mapleton,224.42,10.2
11205,Brooklyn,Bedford-Stuyvesant (West)/Clinton Hill/Fort Greene,132.36,11.7
11206,Brooklyn,Williamsburg (South),201.82,11.3
11207,Brooklyn,Cypress Hills/East New York,279.68,13.2
11208,Brooklyn,Cypress Hills/East New York,298.23,12.1
11209,Brooklyn,Bay Ridge/Fort Hamilton,199.96,10.5
11210,Brooklyn,Flatlands/Midwood,264.89,12.9
11211,Brooklyn,East Williamsburg/Williamsburg (North)/Williamsburg (South),150.49,10.6
11212,Brooklyn,Ocean Hill-Brownsville,348.8,14.2
11213,Brooklyn,Crown Heights (East),246.13,13.5
11214,Brooklyn,Bath Beach/Bensonhurst/Gravesend,284.44,10
11215,Brooklyn,Gowanus/Park Slope/Windsor Terrace,79,10.4
11216,Brooklyn,Bedford-Stuyvesant (West)/Crown Heights (West),158.69,13.2
11217,Brooklyn,Boerum Hill/Park Slope,222.65,11
11218,Brooklyn,Kensington/Windsor Terrace,231.09,10.6
11219,Brooklyn,Borough Park,235.34,10.2
11220,Brooklyn,Sunset Park,207.21,9.3
11221,Brooklyn,Bedford-Stuyvesant (East)/Bushwick,208.74,12.3
11222,Brooklyn,Greenpoint,105.19,10.6
11223,Brooklyn,Gravesend/Homecrest,207.38,10.5
11224,Brooklyn,Brighton Beach/Coney Island/Seagate,557.59,11.7
11225,Brooklyn,Crown Heights (West)/Prospect Lefferts Gardens,262.55,13.4
11226,Brooklyn,Flatbush/Prospect Lefferts Gardens,329.72,13.3
11228,Brooklyn,Bath Beach/Dyker Heights,233.42,10.2
11229,Brooklyn,Gerritsen Beach/Homecrest/Sheepshead Bay,221.47,10.6
11230,Brooklyn,Midwood,334.12,10.9
11231,Brooklyn,Carroll Gardens/Cobble Hill/Red Hook,112.37,10.7
11232,Brooklyn,Sunset Park,169.83,9.7
11233,Brooklyn,Bedford-Stuyvesant (East)/Ocean Hill-Brownsville,219.31,14
11234,Brooklyn,Bergen Beach/Flatlands/Marine Park/Mill Basin,229.65,12.3
11235,Brooklyn,Brighton Beach/Manhattan Beach/Sheepshead Bay,456.54,10.6
11236,Brooklyn,Canarsie,336.71,13.6
11237,Brooklyn,Bushwick/East Williamsburg,233.33,10.2
11238,Brooklyn,Clinton Hill/Prospect Heights,212.89,12
11239,Brooklyn,East New York,790.95,13.3
11354,Queens,Flushing/Murray Hill,626.87,8.7
11355,Queens,Flushing/Murray Hill/Queensboro Hill,258.71,8.2
11356,Queens,College Point,219.16,9.6
11357,Queens,Whitestone,281.55,10.2
11358,Queens,Auburndale/Murray Hill,149.9,9.3
11360,Queens,Bayside (North),199.52,10.1
11361,Queens,Bayside (North)/Bayside (South),238.9,9.4
11362,Queens,Douglaston-Little Neck,243.07,9.3
11363,Queens,Douglaston-Little Neck,103.93,9.5
11364,Queens,Bayside (South)/Oakland Gardens,117.69,9
11365,Queens,Auburndale/Fresh Meadows/Pomonok/Utopia,196.28,9.5
11366,Queens,Fresh Meadows/Hillcrest,197.07,9.5
11367,Queens,Kew Gardens Hills/Pomonok,184.38,10.5
11368,Queens,Corona/North Corona,415.87,9.9
11369,Queens,Airport/East Elmhurst,582.85,10.4
11370,Queens,Jackson Heights/Rikers Island,223.43,9.7
11372,Queens,Jackson Heights,474.6,9.4
11373,Queens,Elmhurst,326.22,8.7
11374,Queens,Rego Park,270.57,9.7
11375,Queens,Forest Hills,304.49,9.8
11377,Queens,Woodside,276.03,9.1
11378,Queens,Maspeth,207.49,10.8
11379,Queens,Middle Village,352.11,11.2
11385,Queens,Glendale/Ridgewood,146.7,10.7
11411,Queens,Cambria Heights,233.88,13.8
11412,Queens,St. Albans,251.98,14.1
11413,Queens,Laurelton/Rosedale,254.59,13.9
11414,Queens,Hamilton Beach/Howard Beach/Lindenwood,282.1,11.2
11415,Queens,Kew Gardens,333.81,10.7
11416,Queens,Ozone Park,287.99,10.4
11417,Queens,Ozone Park,190.07,10.8
11418,Queens,Richmond Hill,263.4,10.4
11419,Queens,Richmond Hill/South Ozone Park,255.64,11.5
11420,Queens,South Ozone Park,234.14,12.3
11421,Queens,Woodhaven,282.15,10.1
11422,Queens,Rosedale,228.47,13.6
11423,Queens,Hollis/Holliswood,382.16,12.2
11426,Queens,Bellerose,198.38,9.8
11427,Queens,Bellerose/Hollis Hills/Holliswood,190.9,10.7
11428,Queens,Queens Village,344.44,11.1
11429,Queens,Queens Village,254.91,13.4
11432,Queens,Hillcrest/Jamaica Estates/Jamaica Hills,441.12,10.3
11433,Queens,Jamaica,290.24,13.5
11434,Queens,Airport/South Jamaica/Springfield Gardens/St. Albans,322.03,14.1
11435,Queens,Briarwood/Jamaica,287.6,11
11436,Queens,South Jamaica/South Ozone Park,254.46,13.6
11691,Queens,Edgemere/Far Rockaway,587.83,12.5
11692,Queens,Arverne/Edgemere,456.51,13.2
11693,Queens,Arverne/Broad Channel,244.63,11.9
11694,Queens,Belle Harbor-Neponsit/Rockaway Park,433.12,11.2
11697,Queens,Breezy Point,206.33,11.2